Date,PercentOfBaseline,State
3/30/2020,54,Virginia
3/30/2020,50,Washington
3/31/2020,71,New South Wales
3/31/2020,26,Santiago Province
3/31/2020,91,Alberta
3/31/2020,60,Alberta
3/31/2020,84,British Columbia
3/31/2020,97,Manitoba
3/31/2020,49,Nova Scotia
3/31/2020,58,Ontario
3/31/2020,89,Ontario
3/31/2020,55,Quebec
3/31/2020,68,Quebec
3/31/2020,70,California
3/31/2020,46,California
3/31/2020,59,Colorado
3/31/2020,68,Florida
3/31/2020,66,Georgia
3/31/2020,92,Hawaii
3/31/2020,77,Illinois
3/31/2020,71,Massachusetts
3/31/2020,52,Michigan
3/31/2020,80,North Carolina
3/31/2020,61,New Jersey
3/31/2020,44,Nevada
3/31/2020,62,New York
3/31/2020,47,New York
3/31/2020,68,Texas
3/31/2020,57,Virginia
3/31/2020,64,Washington
4/1/2020,69,New South Wales
4/1/2020,27,Santiago Province
4/1/2020,94,Alberta
4/1/2020,61,Alberta
4/1/2020,86,British Columbia
4/1/2020,94,Manitoba
4/1/2020,30,Nova Scotia
4/1/2020,53,Ontario
4/1/2020,100,Ontario
4/1/2020,55,Quebec
4/1/2020,63,Quebec
4/1/2020,65,California
4/1/2020,54,California
4/1/2020,56,Colorado
4/1/2020,68,Florida
4/1/2020,71,Georgia
4/1/2020,90,Hawaii
4/1/2020,72,Illinois
4/1/2020,66,Massachusetts
4/1/2020,52,Michigan
4/1/2020,71,North Carolina
4/1/2020,64,New Jersey
4/1/2020,40,Nevada
4/1/2020,59,New York
4/1/2020,49,New York
4/1/2020,65,Texas
4/1/2020,57,Virginia
4/1/2020,65,Washington
4/2/2020,77,New South Wales
4/2/2020,21,Santiago Province
4/2/2020,89,Alberta
4/2/2020,100,Alberta
4/2/2020,78,British Columbia
4/2/2020,81,Manitoba
4/2/2020,41,Nova Scotia
4/2/2020,53,Ontario
4/2/2020,92,Ontario
4/2/2020,54,Quebec
4/2/2020,65,Quebec
4/2/2020,70,California
4/2/2020,47,California
4/2/2020,48,Colorado
4/2/2020,57,Florida
4/2/2020,67,Georgia
4/2/2020,88,Hawaii
4/2/2020,74,Illinois
4/2/2020,60,Massachusetts
4/2/2020,48,Michigan
4/2/2020,65,North Carolina
4/2/2020,64,New Jersey
4/2/2020,43,Nevada
4/2/2020,58,New York
4/2/2020,46,New York
4/2/2020,69,Texas
4/2/2020,39,Virginia
4/2/2020,55,Washington
4/3/2020,64,New South Wales
4/3/2020,31,Santiago Province
4/3/2020,83,Alberta
4/3/2020,62,Alberta
4/3/2020,80,British Columbia
4/3/2020,76,Manitoba
4/3/2020,35,Nova Scotia
4/3/2020,56,Ontario
4/3/2020,90,Ontario
4/3/2020,59,Quebec
4/3/2020,62,Quebec
4/3/2020,63,California
4/3/2020,41,California
4/3/2020,49,Colorado
4/3/2020,66,Florida
4/3/2020,59,Georgia
4/3/2020,83,Hawaii
4/3/2020,68,Illinois
4/3/2020,56,Massachusetts
4/3/2020,49,Michigan
4/3/2020,64,North Carolina
4/3/2020,67,New Jersey
4/3/2020,29,Nevada
4/3/2020,55,New York
4/3/2020,42,New York
4/3/2020,66,Texas
4/3/2020,51,Virginia
4/3/2020,60,Washington
4/4/2020,27,New South Wales
4/4/2020,19,Santiago Province
4/4/2020,51,Alberta
4/4/2020,55,British Columbia
4/4/2020,80,Manitoba
4/4/2020,33,Nova Scotia
4/4/2020,28,Ontario
4/4/2020,65,Ontario
4/4/2020,56,Quebec
4/4/2020,43,Quebec
4/4/2020,55,California
4/4/2020,34,California
4/4/2020,39,Colorado
4/4/2020,59,Florida
4/4/2020,58,Georgia
4/4/2020,90,Hawaii
4/4/2020,61,Illinois
4/4/2020,63,Massachusetts
4/4/2020,51,Michigan
4/4/2020,31,North Carolina
4/4/2020,59,New Jersey
4/4/2020,18,Nevada
4/4/2020,61,New York
4/4/2020,52,New York
4/4/2020,52,Texas
4/4/2020,40,Virginia
4/4/2020,45,Washington
4/5/2020,57,New South Wales
4/5/2020,11,Santiago Province
4/5/2020,65,Alberta
4/5/2020,54,British Columbia
4/5/2020,54,Manitoba
4/5/2020,20,Ontario
4/5/2020,31,Ontario
4/5/2020,32,Quebec
4/5/2020,46,California
4/5/2020,26,California
4/5/2020,30,Colorado
4/5/2020,45,Florida
4/5/2020,48,Georgia
4/5/2020,100,Hawaii
4/5/2020,41,Illinois
4/5/2020,63,Massachusetts
4/5/2020,48,Michigan
4/5/2020,49,North Carolina
4/5/2020,61,New Jersey
4/5/2020,12,Nevada
4/5/2020,61,New York
4/5/2020,63,New York
4/5/2020,43,Texas
4/5/2020,32,Virginia
4/5/2020,44,Washington
4/6/2020,59,New South Wales
4/6/2020,27,Santiago Province
4/6/2020,100,Alberta
4/6/2020,76,Alberta
4/6/2020,80,British Columbia
4/6/2020,100,Manitoba
4/6/2020,55,Nova Scotia
4/6/2020,62,Ontario
4/6/2020,100,Ontario
4/6/2020,40,Quebec
4/6/2020,61,Quebec
4/6/2020,55,California
4/6/2020,37,California
4/6/2020,46,Colorado
4/6/2020,59,Florida
4/6/2020,56,Georgia
4/6/2020,100,Hawaii
4/6/2020,70,Illinois
4/6/2020,66,Massachusetts
4/6/2020,39,Michigan
4/6/2020,73,North Carolina
4/6/2020,74,New Jersey
4/6/2020,38,Nevada
4/6/2020,62,New York
4/6/2020,45,New York
4/6/2020,69,Texas
4/6/2020,60,Virginia
4/6/2020,54,Washington
4/7/2020,64,New South Wales
4/7/2020,25,Santiago Province
4/7/2020,97,Alberta
4/7/2020,90,Alberta
4/7/2020,69,British Columbia
4/7/2020,100,Manitoba
4/7/2020,33,Nova Scotia
4/7/2020,52,Ontario
4/7/2020,89,Ontario
4/7/2020,58,Quebec
4/7/2020,64,Quebec
4/7/2020,59,California
4/7/2020,38,California
4/7/2020,48,Colorado
4/7/2020,67,Florida
4/7/2020,63,Georgia
4/7/2020,89,Hawaii
4/7/2020,70,Illinois
4/7/2020,62,Massachusetts
4/7/2020,54,Michigan
4/7/2020,62,North Carolina
4/7/2020,66,New Jersey
4/7/2020,52,Nevada
4/7/2020,51,New York
4/7/2020,44,New York
4/7/2020,69,Texas
4/7/2020,53,Virginia
4/7/2020,61,Washington
4/8/2020,69,New South Wales
4/8/2020,21,Santiago Province
4/8/2020,91,Alberta
4/8/2020,45,Alberta
4/8/2020,70,British Columbia
4/8/2020,93,Manitoba
4/8/2020,35,Nova Scotia
4/8/2020,55,Ontario
4/8/2020,91,Ontario
4/8/2020,55,Quebec
4/8/2020,58,Quebec
4/8/2020,62,California
4/8/2020,50,California
4/8/2020,54,Colorado
4/8/2020,64,Florida
4/8/2020,62,Georgia
4/8/2020,86,Hawaii
4/8/2020,72,Illinois
4/8/2020,65,Massachusetts
4/8/2020,49,Michigan
4/8/2020,66,North Carolina
4/8/2020,63,New Jersey
4/8/2020,42,Nevada
4/8/2020,54,New York
4/8/2020,41,New York
4/8/2020,68,Texas
4/8/2020,55,Virginia
4/8/2020,65,Washington
4/9/2020,54,New South Wales
4/9/2020,24,Santiago Province
4/9/2020,94,Alberta
4/9/2020,44,Alberta
4/9/2020,75,British Columbia
4/9/2020,94,Manitoba
4/9/2020,32,Nova Scotia
4/9/2020,55,Ontario
4/9/2020,90,Ontario
4/9/2020,60,Quebec
4/9/2020,61,Quebec
4/9/2020,55,California
4/9/2020,38,California
4/9/2020,45,Colorado
4/9/2020,67,Florida
4/9/2020,65,Georgia
4/9/2020,88,Hawaii
4/9/2020,71,Illinois
4/9/2020,53,Massachusetts
4/9/2020,47,Michigan
4/9/2020,67,North Carolina
4/9/2020,73,New Jersey
4/9/2020,31,Nevada
4/9/2020,56,New York
4/9/2020,43,New York
4/9/2020,60,Texas
4/9/2020,48,Virginia
4/9/2020,49,Washington
4/10/2020,8,New South Wales
4/10/2020,12,Santiago Province
4/10/2020,24,Alberta
4/10/2020,24,British Columbia
4/10/2020,14,Manitoba
4/10/2020,5,Nova Scotia
4/10/2020,10,Ontario
4/10/2020,20,Ontario
4/10/2020,26,Quebec
4/10/2020,24,Quebec
4/10/2020,60,California
4/10/2020,37,California
4/10/2020,45,Colorado
4/10/2020,56,Florida
4/10/2020,61,Georgia
4/10/2020,79,Hawaii
4/10/2020,66,Illinois
4/10/2020,57,Massachusetts
4/10/2020,46,Michigan
4/10/2020,40,North Carolina
4/10/2020,67,New Jersey
4/10/2020,28,Nevada
4/10/2020,56,New York
4/10/2020,37,New York
4/10/2020,55,Texas
4/10/2020,46,Virginia
4/10/2020,52,Washington
4/11/2020,22,New South Wales
4/11/2020,15,Santiago Province
4/11/2020,37,Alberta
4/11/2020,39,Alberta
4/11/2020,29,British Columbia
4/11/2020,29,Manitoba
4/11/2020,21,Ontario
4/11/2020,11,Ontario
4/11/2020,20,Quebec
4/11/2020,18,Quebec
4/11/2020,52,California
4/11/2020,25,California
4/11/2020,27,Colorado
4/11/2020,48,Florida
4/11/2020,61,Georgia
4/11/2020,77,Hawaii
4/11/2020,67,Illinois
4/11/2020,60,Massachusetts
4/11/2020,54,Michigan
4/11/2020,37,North Carolina
4/11/2020,55,New Jersey
4/11/2020,14,Nevada
4/11/2020,60,New York
4/11/2020,52,New York
4/11/2020,49,Texas
4/11/2020,29,Virginia
4/11/2020,42,Washington
4/12/2020,25,New South Wales
4/12/2020,4,Santiago Province
4/12/2020,69,Alberta
4/12/2020,51,Alberta
4/12/2020,50,British Columbia
4/12/2020,52,Manitoba
4/12/2020,16,Ontario
4/12/2020,68,Ontario
4/12/2020,34,Quebec
4/12/2020,43,California
4/12/2020,29,California
4/12/2020,15,Colorado
4/12/2020,40,Florida
4/12/2020,42,Georgia
4/12/2020,93,Hawaii
4/12/2020,40,Illinois
4/12/2020,60,Massachusetts
4/12/2020,50,Michigan
4/12/2020,38,North Carolina
4/12/2020,64,New Jersey
4/12/2020,14,Nevada
4/12/2020,59,New York
4/12/2020,62,New York
4/12/2020,31,Texas
4/12/2020,36,Virginia
4/12/2020,35,Washington
4/13/2020,29,New South Wales
4/13/2020,26,Santiago Province
4/13/2020,88,Alberta
4/13/2020,32,Alberta
4/13/2020,72,British Columbia
4/13/2020,100,Manitoba
4/13/2020,34,Nova Scotia
4/13/2020,49,Ontario
4/13/2020,80,Ontario
4/13/2020,25,Quebec
4/13/2020,50,Quebec
4/13/2020,59,California
4/13/2020,37,California
4/13/2020,33,Colorado
4/13/2020,55,Florida
4/13/2020,56,Georgia
4/13/2020,83,Hawaii
4/13/2020,66,Illinois
4/13/2020,59,Massachusetts
4/13/2020,44,Michigan
4/13/2020,62,North Carolina
4/13/2020,54,New Jersey
4/13/2020,32,Nevada
4/13/2020,51,New York
4/13/2020,42,New York
4/13/2020,59,Texas
4/13/2020,53,Virginia
4/13/2020,44,Washington
4/14/2020,59,New South Wales
4/14/2020,20,Santiago Province
4/14/2020,98,Alberta
4/14/2020,62,Alberta
4/14/2020,72,British Columbia
4/14/2020,100,Manitoba
4/14/2020,33,Nova Scotia
4/14/2020,50,Ontario
4/14/2020,84,Ontario
4/14/2020,69,Quebec
4/14/2020,62,Quebec
4/14/2020,63,California
4/14/2020,47,California
4/14/2020,38,Colorado
4/14/2020,70,Florida
4/14/2020,57,Georgia
4/14/2020,73,Hawaii
4/14/2020,71,Illinois
4/14/2020,62,Massachusetts
4/14/2020,49,Michigan
4/14/2020,61,North Carolina
4/14/2020,57,New Jersey
4/14/2020,38,Nevada
4/14/2020,46,New York
4/14/2020,45,New York
4/14/2020,62,Texas
4/14/2020,60,Virginia
4/14/2020,62,Washington
4/15/2020,61,New South Wales
4/15/2020,21,Santiago Province
4/15/2020,95,Alberta
4/15/2020,36,Alberta
4/15/2020,72,British Columbia
4/15/2020,94,Manitoba
4/15/2020,34,Nova Scotia
4/15/2020,57,Ontario
4/15/2020,91,Ontario
4/15/2020,66,Quebec
4/15/2020,66,Quebec
4/15/2020,58,California
4/15/2020,39,California
4/15/2020,50,Colorado
4/15/2020,63,Florida
4/15/2020,54,Georgia
4/15/2020,79,Hawaii
4/15/2020,72,Illinois
4/15/2020,59,Massachusetts
4/15/2020,46,Michigan
4/15/2020,70,North Carolina
4/15/2020,63,New Jersey
4/15/2020,31,Nevada
4/15/2020,50,New York
4/15/2020,41,New York
4/15/2020,60,Texas
4/15/2020,59,Virginia
4/15/2020,68,Washington
4/16/2020,60,New South Wales
4/16/2020,17,Santiago Province
4/16/2020,90,Alberta
4/16/2020,55,Alberta
4/16/2020,70,British Columbia
4/16/2020,89,Manitoba
4/16/2020,35,Nova Scotia
4/16/2020,55,Ontario
4/16/2020,86,Ontario
4/16/2020,63,Quebec
4/16/2020,64,Quebec
4/16/2020,59,California
4/16/2020,38,California
4/16/2020,31,Colorado
4/16/2020,63,Florida
4/16/2020,60,Georgia
4/16/2020,86,Hawaii
4/16/2020,68,Illinois
4/16/2020,53,Massachusetts
4/16/2020,50,Michigan
4/16/2020,66,North Carolina
4/16/2020,60,New Jersey
4/16/2020,32,Nevada
4/16/2020,49,New York
4/16/2020,46,New York
4/16/2020,64,Texas
4/16/2020,51,Virginia
4/16/2020,61,Washington
4/17/2020,69,New South Wales
4/17/2020,18,Santiago Province
4/17/2020,88,Alberta
4/17/2020,46,Alberta
4/17/2020,73,British Columbia
4/17/2020,87,Manitoba
4/17/2020,28,Nova Scotia
4/17/2020,46,Ontario
4/17/2020,82,Ontario
4/17/2020,58,Quebec
4/17/2020,63,Quebec
4/17/2020,62,California
4/17/2020,40,California
4/17/2020,43,Colorado
4/17/2020,69,Florida
4/17/2020,57,Georgia
4/17/2020,68,Hawaii
4/17/2020,64,Illinois
4/17/2020,60,Massachusetts
4/17/2020,45,Michigan
4/17/2020,60,North Carolina
4/17/2020,66,New Jersey
4/17/2020,42,Nevada
4/17/2020,52,New York
4/17/2020,44,New York
4/17/2020,59,Texas
4/17/2020,52,Virginia
4/17/2020,49,Washington
4/18/2020,32,New South Wales
4/18/2020,10,Santiago Province
4/18/2020,64,Alberta
4/18/2020,52,Alberta
4/18/2020,59,British Columbia
4/18/2020,100,Manitoba
4/18/2020,22,Nova Scotia
4/18/2020,27,Ontario
4/18/2020,68,Ontario
4/18/2020,100,Quebec
4/18/2020,47,Quebec
4/18/2020,57,California
4/18/2020,33,California
4/18/2020,32,Colorado
4/18/2020,60,Florida
4/18/2020,61,Georgia
4/18/2020,84,Hawaii
4/18/2020,62,Illinois
4/18/2020,61,Massachusetts
4/18/2020,53,Michigan
4/18/2020,32,North Carolina
4/18/2020,59,New Jersey
4/18/2020,31,Nevada
4/18/2020,53,New York
4/18/2020,48,New York
4/18/2020,50,Texas
4/18/2020,36,Virginia
4/18/2020,40,Washington
4/19/2020,49,New South Wales
4/19/2020,84,Alberta
4/19/2020,61,British Columbia
4/19/2020,71,Manitoba
4/19/2020,21,Ontario
4/19/2020,52,Ontario
4/19/2020,36,Quebec
4/19/2020,43,California
4/19/2020,21,California
4/19/2020,13,Colorado
4/19/2020,64,Florida
4/19/2020,47,Georgia
4/19/2020,76,Hawaii
4/19/2020,48,Illinois
4/19/2020,63,Massachusetts
4/19/2020,48,Michigan
4/19/2020,63,North Carolina
4/19/2020,66,New Jersey
4/19/2020,21,Nevada
4/19/2020,46,New York
4/19/2020,62,New York
4/19/2020,41,Texas
4/19/2020,41,Virginia
4/19/2020,26,Washington
4/20/2020,60,New South Wales
4/20/2020,22,Santiago Province
4/20/2020,100,Alberta
4/20/2020,46,Alberta
4/20/2020,86,British Columbia
4/20/2020,100,Manitoba
4/20/2020,41,Nova Scotia
4/20/2020,59,Ontario
4/20/2020,100,Ontario
4/20/2020,68,Quebec
4/20/2020,68,Quebec
4/20/2020,59,California
4/20/2020,46,California
4/20/2020,31,Colorado
4/20/2020,66,Florida
4/20/2020,51,Georgia
4/20/2020,85,Hawaii
4/20/2020,72,Illinois
4/20/2020,48,Massachusetts
4/20/2020,47,Michigan
4/20/2020,67,North Carolina
4/20/2020,67,New Jersey
4/20/2020,33,Nevada
4/20/2020,61,New York
4/20/2020,47,New York
4/20/2020,64,Texas
4/20/2020,59,Virginia
4/20/2020,69,Washington
4/21/2020,65,New South Wales
4/21/2020,17,Santiago Province
4/21/2020,100,Alberta
